ref_key,tieu_de,trang_thai,nam,hoi_nghi_tap_chi,ho_phuong_phap,bieu_dien_dau_vao,co_dung_do_thi,loai_do_thi,co_tri_thuc_ngoai,ngon_ngu,tap_du_lieu,do_do_bao_cao,ket_qua_tot_nhat,xu_ly_phu_dinh_chuyen_y,co_giai_thich,co_ma_nguon,nguon_url,ghi_chu
BARTpho,BARTpho: Pre-trained Sequence-to-Sequence Models for Vietnamese,da_doc_toan_van,2022,Interspeech 2022 (bản arXiv 2109.09701 phổ biến hơn),G3_plm,"embedding_ngu_canh (kiến trúc BART mã hoá-giải mã, subword — LƯU Ý: encoder-decoder, khác BERT-family chỉ có encoder)",khong,,khong,vi,"VNDS (bộ dữ liệu tóm tắt tin tức tiếng Việt) — tác vụ TÓM TẮT VĂN BẢN, KHÔNG phải ACSA/sentiment","ROUGE-1, ROUGE-2, ROUGE-L","ROUGE-L 39,75 (BARTpho_word, tập test, Bảng 1) — bài KHÔNG làm ACSA hay sentiment, đây là mô hình tóm tắt văn bản, không so sánh được với các dòng khác trong ma trận này",khong,khong,co,https://arxiv.org/abs/2109.09701,"Cung lien quan G5 neu dung o che do sinh | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Nguyen Luong Tran, Duong Minh Le, Dat Quoc Nguyen (VinAI Research) | QUAN TRONG: day la mo hinh SEQ2SEQ (encoder-decoder, kieu BART/mBART), KHONG PHAI encoder-only nhu PhoBERT/ViSoBERT/XLM-R - phu hop hon cho tac vu SINH (vd giai thich dang van ban tu nhien cho NS-MGAT o CD2, dung 'G5_sinh_prompting' nhu ghi chu goc da noi) hon la phan loai ACSA truc tiep | Thuc nghiem DUY NHAT trong bai la tom tat van ban tieng Viet tren VNDS, hoan toan khong lien quan ACSA - can THAN TRONG khi dua vao Bang 3.9 vi khong cung truc so sanh voi cac dong khac | co_giai_thich=khong | co_ma_nguon=co: 'available at github.com/VinAIResearch/BARTpho' + huggingface.co/docs/transformers"
ASGCN,Aspect-based Sentiment Classification with Aspect-specific Graph Convolutional Networks,da_doc_toan_van,2019,EMNLP-IJCNLP 2019,G4_do_thi,"embedding_tinh (GloVe, 300 chiều, mức từ)",co,cu_phap,khong,en,SemEval 2014 Task 4 (Restaurant+Laptop) + SemEval 2015 Task 12 (Restaurant) + SemEval 2016 Task 5 (Restaurant) + Twitter (Dong et al. 2014),"accuracy, macro-F1","acc 80,77% / macro-F1 72,02% (Restaurant14, mô hình ASGCN-DG) — bài còn báo cáo Twitter (72,15/70,40), Laptop14 (75,55/71,05), Restaurant15 (79,89/61,89), Restaurant16 (88,99/67,48), xem ghi_chu",khong,co,co,https://aclanthology.org/D19-1464/,"BASELINE CHINH THUC (ban GVHD duyet muc 4) - CD1.6a - cu phap THUAN, cap voi Sentic-GCN de co lap phan tri thuc cam xuc | Kiem chung 22/09/2026 (bibliographic) roi 22/09/2026 (DOC TOAN VAN, hoan tat) qua ACL Anthology, trich chu truc tiep PDF bang pypdf. Tac gia: Chen Zhang, Qiuchi Li, Dawei Song | LUU Y: dong nay CHUA thay the cho yeu cau 'Da doc ky' trong doc_bat_buoc.md (van dang ☐ o do) — hoc vien van can tu doc + xem cau hoi kiem tra trong file do truoc khi bao ve | co_ma_nguon=co: bai tu noi 'Code and preprocessed datasets are available at github.com/GeneZC/ASGCN' | co_giai_thich=co: muc 4.5 Case Study, Bang 4 ve attention cua MemNet/IAN/ASCNN/ASGCN-DG tren cung cau | xu_ly_phu_dinh_chuyen_y=khong: case study co 1 cau vi du chua phu dinh ('contains negation... easily lead models to make wrong predictions') ma ASGCN-DG xu ly dung nho khoang cach cu phap, NHUNG day la VI DU DINH TINH, khong phai module kien truc rieng cho phu dinh — cung mau hinh nhu ATAE-LSTM/SSEGCN da ghi truoc do | co model 2 bien the ASGCN-DT (cay co huong) va ASGCN-DG (cay vo huong) — DG tot hon, chon DG lam so lieu chinh, GAP-007 cua de tai lien quan truc tiep toi cach xu ly cay bi cat"
Sentic-GCN,Aspect-based sentiment analysis via affective knowledge enhanced graph convolutional networks,chua_kiem,2021,"Knowledge-Based Systems 2021 (vol. 235, bài số 107643)",G4_do_thi,[CẦN TÌM],co,cu_phap,co,en,[CẦN TÌM],[CẦN TÌM],[CẦN TÌM],[CẦN TÌM],[CẦN TÌM],[CẦN TÌM],https://www.sciencedirect.com/science/article/abs/pii/S0950705121009059,"BASELINE CHINH THUC (ban GVHD duyet muc 4) - CD1.6b - phai doc toan van; kiem ky cach dung SenticNet (GAP-002) | ⚠️ CHAN TRA PHI - kiem tra 22/09/2026: ScienceDirect (Elsevier) doi mua bai; kho luu ĐH Warwick (tung ghi 'doc mien phi') bao 'Research output not available from this repository' - ca 2 nguon deu KHONG doc duoc. Claude Code KHONG bia noi dung khi chua doc duoc nguon that, nen 6 o con lai [CẦN TÌM] van de nguyen. Tac gia: Liang, Su, Gui, Cambria, Xu. Ma nguon (doc duoc, mien phi): github.com/BinLiang-NLP/Sentic-GCN - co the ho tro doan mot phan kien truc qua README/code du chua co toan van bai bao. Chi tiet cach tim huong tiep can (thu vien truong, ResearchGate request full-text, hoi GVHD) xem chuyende1/survey/doc_bat_buoc.md muc Sentic-GCN"
DualGCN,Dual Graph Convolutional Networks for Aspect-based Sentiment Analysis,da_doc_toan_van,2021,ACL-IJCNLP 2021,G4_do_thi,"embedding_tinh (GloVe, 300 chiều, mức từ)",co,cu_phap,khong,en,SemEval 2014 Restaurant + Laptop + ACL14 Twitter (Dong et al. 2014),"accuracy, macro-F1","acc 84,27% / macro-F1 78,08% (Restaurant) — bài còn báo cáo Laptop (78,48/74,74) và Twitter (75,92/74,29), xem ghi_chu",khong,co,co,https://aclanthology.org/2021.acl-long.494/,"Hat giong | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Ruifan Li, Hao Chen, Fangxiang Feng, Zhanyu Ma, Xiaojie Wang, Eduard Hovy | bieu_dien_dau_vao: '300-dimensional Glove vectors' cho mo hinh goc (co bien the DualGCN+BERT rieng, KHONG tinh o day vi ho_phuong_phap dang xep vao G4_do_thi nhu mo hinh goc) | loai_do_thi=cu_phap: dung 2 kenh GCN tren cay phu thuoc cu phap (SynGCN) ket hop attention ngu nghia (SemGCN), nhung truc chinh van la cay cu phap | co_tri_thuc_ngoai=khong: quet toan bai khong co SenticNet/affective lexicon | co_giai_thich=co: muc 5.6 'Case Study' + muc 5.7 'Attention Visualization' | co_ma_nguon=co: dong van ban tu bai 'are provided on GitHub1' + footnote 'https://github.com/CCChenhao997/DualGCN-ABSA' — tac gia tu cong bo, tu nhan trong chinh bai bao (khong phai suy doan tu tim Github ngoai)"
SSEGCN,SSEGCN: Syntactic and Semantic Enhanced Graph Convolutional Network for Aspect-based Sentiment Analysis,da_doc_toan_van,2022,NAACL 2022,G4_do_thi,"embedding_tinh (GloVe, 300 chiều, mức từ)",co,cu_phap,khong,en,SemEval 2014 Restaurant + Laptop + Twitter (Dong et al. 2014),"accuracy, macro-F1","acc 84,72% / macro-F1 77,51% (Restaurant) — bài còn báo cáo Laptop (79,43/76,49) và Twitter (76,51/75,32), xem ghi_chu",khong,co,co,https://aclanthology.org/2022.naacl-main.362/,"Hat giong | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Zheng Zhang, Zili Zhou, Yanna Wang | loai_do_thi=cu_phap: dung ma tran mat na cu phap (syntactic mask matrix) tinh tu khoang cach cu phap, ket hop aspect-aware attention (ngu nghia) | co_tri_thuc_ngoai=khong: dong 'SenticNet' TIM THAY trong bai chi la TRICH DAN cong trinh KHAC (Liang et al. 2021 = Sentic-GCN, dong rieng trong ma tran nay), KHONG PHAI SSEGCN tu dung SenticNet — doc ky ngu canh de tranh nham (bai hoc tu GAP truoc) | xu_ly_phu_dinh_chuyen_y=khong GIU NGUYEN nhung dang chu y: muc 4.6 Case Study THAO LUAN RO 2 vi du — cau co tuong phan cam xuc ('great food but the service was dreadful') VA cau co phu dinh ('Not as fast as I would have expect'), noi cac phuong phap khac 'tend to ignore' phan phu dinh — NHUNG day van la VI DU DINH TINH trong case study, KHONG PHAI mot module kien truc rieng cho phu dinh/chuyen y (co che chinh la mask cu phap + attention chung) — hoc vien tu quyet neu muon doi sang mot_phan, day la dong co bang chung MANH nhat cho huong do trong ca 7 dong da lam | co_giai_thich=co: muc 4.6 Case Study + muc 4.7 Visualization | co_ma_nguon=co: dong van ban 'involved in this paper are provided on Github1' + footnote 'https://github.com/zhangzheng1997/...' — tac gia tu cong bo"
kumaGCN,Inducing Target-Specific Latent Structures for Aspect Sentiment Classification,da_doc_toan_van,2020,EMNLP 2020,G4_do_thi,"embedding_tinh (GloVe, 300 chiều, mức từ)",co,cu_phap,khong,en,SemEval 2014 Task 4 (Laptop+Restaurant) + SemEval 2015 Task 12 (Restaurant) + SemEval 2016 Task 5 (Restaurant) + Twitter (Dong et al. 2014),"accuracy, macro-F1","acc 81,43% / F1 73,64% (Restaurant14, Bảng 3) — bài còn báo cáo Twitter (72,45/70,77), Laptop14 (76,12/72,42), Restaurant15 (80,69/65,99), Restaurant16 (89,39/73,19), trung bình 5 tập 80,02/71,20, xem ghi_chu",khong,co,co,https://aclanthology.org/2020.emnlp-main.451/,"Hat giong | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Chenhua Chen, Zhiyang Teng, Yue Zhang | 'kumaGCN' la ten tat trong cac bai sau; ten day du trong CHINH bai nay la mo hinh dung phan phoi Kumaraswamy de hoc THEM mot do thi tiem an (latent graph) ben canh cay cu phap goc, ket hop bang co che cong (gate) — vi vay loai_do_thi van la cu_phap (goc la dependency tree, do thi tiem an chi bo sung) | co_tri_thuc_ngoai=khong: khong dung tu dien cam xuc/SenticNet, chi dung GloVe + cay cu phap | co_giai_thich=co: muc 4.5 Case Study, so sanh truc quan trong so attention giua depGCN va kumaGCN tren cung 1 cau | xu_ly_phu_dinh_chuyen_y=khong: case study noi ve CAU CO 2 KHIA CANH TUONG PHAN ('atmosphere was cozy & the service was horrible'), khong phai phu dinh, va khong co module rieng cho ca hai — chi la do thi tiem an tong quat | co_ma_nguon=co: bai tu noi 'available at github.com/CCSoleil/latent_graph_atsc'"
InstructABSA,InstructABSA: Instruction Learning for Aspect Based Sentiment Analysis,da_doc_toan_van,2024,"NAACL 2024 (bản arXiv 2302.08624 công bố trước, 2023)",G5_sinh_prompting,"embedding_ngu_canh (Tk-Instruct nền T5, tinh chỉnh theo chỉ dẫn — instruction-tuned, subword)",khong,,khong,en,"SemEval 2014 (Laptop14, Restaurant14) + SemEval 2015 (Hotel15, Restaurant15) + SemEval 2016 (Restaurant16) — nhiều tác vụ con: ATE, ATSC, ASPE, AOPE, AOOE, AOSTE","accuracy (ATSC), micro-F1 (ATE/AOPE/AOOE/ASPE/AOSTE)","ATSC (gần nhất với ACSA của đề tài): acc 86,25% (Restaurant14, biến thể InstructABSA1, Bảng 2) — bài còn báo cáo Laptop14 (80,62/81,56), Restaurant15 (83,02/84,50), Restaurant16 (89,10/89,43) cho 2 biến thể, và các tác vụ khác (ATE, ASPE...) không cùng thang đo, xem ghi_chu",khong,khong,co,https://arxiv.org/abs/2302.08624,"Hat giong | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Kevin Scaria, Himanshu Gupta, Siddharth Goyal, Saurabh Sawant, Swaroop Mishra, Chitta Baral | KIEN TRUC KHAC HAN cac dong truoc: day la mo hinh SINH (generative, Tk-Instruct/T5) duoc tinh chinh theo CHI DAN (instruction tuning) voi vi du positive/negative/neutral dua vao prompt, khong phai bo phan loai co dau ra co dinh — dung ho_phuong_phap=G5_sinh_prompting la hop ly | Bai lam NHIEU tac vu con ABSA (ATE=trich khia canh, ATSC=phan loai cam xuc theo khia canh — GAN NHAT voi bai toan cua de tai, ASPE/AOPE/AOOE/AOSTE=cac tac vu ghep khac), moi tac vu do bang khac nhau, KHONG the rut gon thanh 1 con so ma khong mat thong tin | co_giai_thich=khong: quet toan 17 trang KHONG co muc case study hay visualization (khac voi da so cac dong G2/G4 da lam) | co_ma_nguon=co: bai tu noi 'Experiments and results are available at github.com/kevinscaria/InstructABSA'"
SenticNet,SenticNet 7: A Commonsense-based Neurosymbolic AI Framework for Explainable Sentiment Analysis,da_doc_toan_van,2022,LREC 2022,G6_neuro_symbolic,"khac (chuỗi ký hiệu ""protolanguage"" phân cấp qua sơ đồ tri thức thông thường, KHÔNG phải embedding — xem ghi_chu)",co,tri_thuc,co,en,"10 tập chuẩn cho phát hiện cực tính (KHÔNG phải SemEval ABSA — đây là đánh giá từ điển cảm xúc nói chung, xem ghi_chu)",accuracy,"TB ~82,4% trên 10 tập chuẩn (Bảng 2, đứng đầu so với 20 từ điển cảm xúc phổ biến khác) — LƯU Ý: đây là bài toán phân loại cực tính chung, KHÔNG PHẢI ACSA, không so sánh trực tiếp được với các dòng khác trong ma trận này",khong,co,co,https://aclanthology.org/2022.lrec-1.408/,"TLTK CHINH [1] cua ban GVHD duyet - da gan co doc_bat_buoc.md (van dang ☐ 'Da doc ky', dong CSV nay KHONG thay the yeu cau do — hoc vien van phai tu doc + tra loi 4 cau hoi trong doc_bat_buoc.md truoc khi bao ve). SenticNet 7 LREC 2022 | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep tu sentic.net/senticnet-7.pdf bang pypdf). Tac gia: Erik Cambria, Qian Liu, Sergio Decherchi, Frank Xing, Kenneth Kwok | KHAC BIET LON VOI CAC DONG KHAC: day la bai TAI NGUYEN/KHUNG LY THUYET (mot bo tri thuc + phuong phap suy luan), KHONG PHAI mot mo hinh ACSA thuc nghiem tren SemEval — nen cac cot tap_du_lieu/ket_qua_tot_nhat mang y nghia KHAC (danh gia tu dien cam xuc noi chung, khong phai do ACSA) | bieu_dien_dau_vao=khac: dung 'subsymbolic techniques (auto-regressive LM + kernel methods)' de DICH cau tu nhien thanh 'protolanguage' — vi du bai cho: 'Roberta murdered Elmo' -> 'Roberta TERMINATE(Elmo.LIFE.PROCESS)' qua cac tang 'primitive' phan cap (level-3 -> level-0), roi tra ve cam xuc tu Hourglass model. Day KHONG phai vector embedding kieu thong thuong | loai_do_thi=tri_thuc: 'hierarchical commonsense knowledge graph', xay tren ConceptNet 5.5 | co_giai_thich=co: chinh la muc tieu thiet ke ('explainable' la 1 trong 5 tieu chi trong ten khung), co vi du minh hoa chi tiet | co_ma_nguon=co: bai tu noi 'available on our github' + footnote 'github.com/senticnet' | xu_ly_phu_dinh_chuyen_y=khong: quet toan bai khong ban ve pham vi phu dinh/chuyen y o muc cau — day la tai nguyen muc TU/CUM TU, khong phai kien truc ACSA cap cau"
UIT-ViSFD,SA2SL: From Aspect-Based Sentiment Analysis to Social Listening System for Business Intelligence,da_doc_toan_van,2021,KSE 2021,TAI_NGUYEN,"embedding_tinh (fastText, mức từ)",khong,,khong,vi,UIT-ViSFD,"precision, recall, and F1-score (macro average)","84,48 % (khía cạnh) và 63,06 % (cảm xúc)",khong,khong,co,https://arxiv.org/abs/2105.15079,"Tap du lieu chinh cua de tai - BAT BUOC doc toan van de mo ta o muc 4.1 | Tác giả: Luong Luc Phan, Phuc Huynh Pham, Kim Thi-Thanh Nguyen, Tham Thi Nguyen, Sieu Khai Huynh, Luan Thanh Nguyen, Tin Van Huynh, Kiet Van Nguyen | Mã nguồn + dữ liệu: https://github.com/LuongPhan/UIT-ViSFD | nam=2021 lấy từ trang arXiv ngày 20/09/2026: Submitted 31 May 2021, last revised 10 Jun 2021 (v2). Trang arXiv KHÔNG có trường Comments nói hội nghị | Nơi công bố (KSE) do học viên tra 20/09/2026 — chưa đối chiếu được bằng nguồn thứ hai; khi tìm được bản kỷ yếu thì bổ sung NĂM của kỷ yếu vào ô hoi_nghi_tap_chi | xu_ly_phu_dinh_chuyen_y=khong và co_giai_thich=khong: đọc toàn văn không thấy bài bàn tới, không phải chưa tìm"
VLSP-2018,VLSP Shared Task: Sentiment Analysis,chua_kiem,2018,"Journal of Computer Science and Cybernetics, Vol. 34 No. 4 (2018), tr. 295–310",TAI_NGUYEN,[CẦN TÌM],khong,,khong,vi,VLSP-2018,[CẦN TÌM],[CẦN TÌM],[CẦN TÌM],[CẦN TÌM],[CẦN TÌM],https://vjs.ac.vn/index.php/jcc/article/view/13160,"Khong dung o CD1 - de doi chieu o muc 3.8 | Kiem chung MOT PHAN 22/09/2026: xac nhan duoc tac gia (Nguyen Thi Minh Huyen, Nguyen Viet Hung, Ngo The Quyen, Vu Xuan Luong, Tran Mai Vu, Ngo Xuan Bach, Le Anh Cuong), nam, noi cong bo, DOI (10.15625/1813-9663/34/4/13160) qua trang tap chi + doi chieu Semantic Scholar. KHONG tai duoc PDF toan van trong phien nay (link tren trang bao con 404/403 khi thu tai truc tiep, khac voi Sentic-GCN la KHONG THE tiep can chu khong phai chua thu du cach) — con 6 o [CẦN TÌM] (bieu_dien_dau_vao khong ap dung ro vi day la bai TA NGUYEN mo ta shared task chu khong phai 1 mo hinh cu the — can doc toan van de biet chi tiet tap du lieu (Hotel/Restaurant, so cau train/dev/test, danh sach khia canh) va ket qua doi thang cuoc, deu chua co) | Theo tom tat tim duoc: tap Restaurant co 2961/1290/500 cau (train/dev/test), gom 2 mien Hotel + Restaurant, tuong tu SemEval 2016 ABSA subtask 2 — CAN XAC NHAN LAI khi doc toan van"
UIT-ViSD4SA,Span Detection for Aspect-Based Sentiment Analysis in Vietnamese,da_doc_toan_van,2021,PACLIC 2021 (bản arXiv 2110.07833),TAI_NGUYEN,"khac (mô hình đề xuất BiLSTM-CRF ghép syllable + character + embedding_ngu_canh từ XLM-RoBERTa_large — kết hợp cả tĩnh lẫn ngữ cảnh nên không gọn vào 1 mã, xem ghi_chu)",khong,,khong,vi,UIT-ViSD4SA,F1 macro (tách riêng cho aspect / polarity / aspect#polarity),"F1 macro 62,76% (aspect) / 49,77% (polarity) / 45,70% (aspect#polarity) — mô hình BiLSTM-CRF + syllable+char+XLM-R_large, tốt nhất trong bài",khong,co,co,https://aclanthology.org/2021.paclic-1.34/,"De doi chieu o muc 3.8 | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Kim Thi-Thanh Nguyen, Sieu Khai Huynh, Phuc Huynh Pham, Luong Luc Phan, Duc-Vu Nguyen, Kiet Van Nguyen — CUNG nhom UIT NLP da lam UIT-ViSFD | KHAC BIET voi UIT-ViSFD: day la tac vu SPAN DETECTION (tim VI TRI cum tu the hien y kien trong cau, dang gan nhan chuoi BIO), KHONG PHAI phan loai khia canh+cam xuc nhu ACSA cua de tai — 35.396 span gan nhan tren 11.122 binh luan | co_giai_thich=co: muc 5.4 Case Study, Hinh 6 minh hoa du doan dung/sai | co_ma_nguon=co: bai tu noi 'is freely available at github...'"
VietSentiWordNet,Construction of Vietnamese SentiWordNet by using Vietnamese Dictionary,da_doc_toan_van,2014,Hội nghị Khoa học Xử lý Thông tin Hàn Quốc lần 40 (KIPS Fall Conference 2014),TAI_NGUYEN,"tu_dien_cam_xuc (bản thân công trình LÀ một từ điển cảm xúc — không có khái niệm ""đầu vào mô hình"" theo nghĩa thông thường)",khong,,co,vi,"Vdict (từ điển điện tử tiếng Việt, phần của dự án VLSP) — KHÔNG phải tập ACSA, đây là nguồn để SINH từ điển, không phải để đánh giá phân loại cảm xúc câu/khía cạnh","F1 (bộ phân loại positivity/negativity), khoảng cách Kendall tau (đánh giá chất lượng từ điển)","F1 0,545 (bộ phân loại, Word Based Model γ=1, Bảng 1) — đây là điểm của BỘ PHÂN LOẠI dùng để SINH từ điển, không phải điểm ACSA. Bảng 2: khoảng cách Kendall tau so với ESWN 3.0 tiếng Anh — Positivity 0,297 (VSWN) vs 0,281 (ESWN), Negativity 0,283 vs 0,231 — VSWN nhất quán hơn ESWN gốc",khong,khong,co,https://arxiv.org/abs/1412.8010,"Can cho CD1.5 - do phu tren UIT-ViSFD la cau hoi mo cua GAP-002 | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf — bai 4 trang, tieu de song ngu Han-Anh, hoi nghi Han Quoc). Tac gia: Xuan-Son Vu, Seong-Bae Park (Kyungpook National University) | Sinh 39.561 synset tu dong tu Vdict (KHONG dung WordNet tieng Viet vi 'unfortunately not available'), kiem thu tren 266 synset positivity/negativity | co_ma_nguon=co: bai 2014 (4 trang) KHONG tu noi 'code'/'github', nhung kiem repo github.com/sonvx/VietSentiWordNet rieng — repo TU TRICH DAN dung bai nay (arxiv.org/abs/1412.8010) va ghi ten Xuan-Son Vu, Seong-Bae Park la tac gia — xac nhan CHINH CHU, khong phai ban lam lai | co_giai_thich=khong: bai 4 trang khong co case study | co_tri_thuc_ngoai=co: chinh no la nguon tri thuc ben ngoai (tu dien) cho cac mo hinh khac dung, khac voi cac dong truoc noi ve mo hinh CO DUNG tri thuc ngoai hay khong"
Lexicon-based,Predicting the Semantic Orientation of Adjectives,da_doc_toan_van,1997,"ACL/EACL 1997 (35th ACL & 8th EACL), Madrid",G1_co_dien,"tu_dien_cam_xuc (sinh từ tập train, mức từ đã tách)",khong,,co,vi,"21 million word 1987 Wall Street Journal corpus (ngữ liệu báo tiếng Anh — KHÁC hẳn tập UIT-ViSFD của đề tài, xem ghi_chu)","precision (phân loại cực tính tính từ), accuracy (phân loại liên kết liên từ)","precision >90% (phân loại tính từ tích cực/tiêu cực khi từ xuất hiện đủ số lần trong ngữ liệu), acc 82% (phân loại liên kết liên từ, xét độc lập) — ĐÂY LÀ SỐ CỦA BÀI NỀN TẢNG, KHÔNG PHẢI số của baseline `lexicon` do đề tài tự chạy (số đó ở results/lexicon/, xem ghi_chu)",khong,khong,khong,https://aclanthology.org/P97-1023/,"BASELINE CHINH THUC (ban GVHD duyet muc 1) - CD1.4a - san tuyet doi + do truc tiep do phu tu dien (giai quyet GAP-002) | QUAN TRONG - CACH DOC DONG NAY: day KHONG phai bai ma code lexicon.py sao chep — scripts/build_lexicon_from_train.py tu noi ro no SINH tu dien tu chinh tap train (ky thuat goi la 'corpus-based lexicon induction'), KHONG dung phuong phap cua bat ky bai nao cu the. Dong nay dung Hatzivassiloglou & McKeown 1997 lam TAI LIEU NEN TANG DAI DIEN cho ca HUONG PHUONG PHAP 'tu dien cam xuc' (G1_co_dien) trong Chuong 3, giong cach mot khao sat trich dan bai kinh dien nhat cua mot truong phai — KHONG phai tuyen bo 'lexicon.py dua theo bai nay' | Kiem chung 22/09/2026, DA DOC TOAN VAN (trich chu truc tiep PDF bang pypdf). Tac gia: Vasileios Hatzivassiloglou, Kathleen R. McKeown | Phuong phap GOC: khong giam sat, suy ra cuc tinh tinh tu tu cac lien tu ('and'/'but') noi 2 tinh tu trong mot ngu lieu lon, roi phan cum — KHAC HAN ky thuat co giam sat (dem nhan pos/neg tu du lieu co gan nhan) ma lexicon.py cua de tai dung | co_ma_nguon=khong: bai nam 1997, truoc thoi GitHub, khong co cau nao ve cong bo ma | co_giai_thich=khong, co_dung_do_thi=khong: khong ap dung cho bai nay | KET QUA THUC NGHIEM THAT cua baseline `lexicon` cua de tai (acc 0,7469 +/- 0,0002 tren UIT-ViSFD, 3 seed) nam o results/lexicon/, KHONG phai o day"
BiLSTM-attention,Attention-based LSTM for Aspect-level Sentiment Classification,da_doc_toan_van,2016,EMNLP 2016,G2_tuan_tu_attention,"embedding_tinh (học từ đầu, subword PhoBERT, 300 chiều)",khong,,khong,vi,"SemEval 2014 Task 4 - Restaurants, khía cạnh cho sẵn (giống dòng `ATAE-LSTM` — cùng bài gốc; tiếng Anh, KHÁC tập UIT-ViSFD của đề tài, xem ghi_chu)",accuracy,"acc 84,0% (3 lớp, khía cạnh cho sẵn, Restaurant, Bảng 2 của bài gốc) — ĐÂY LÀ SỐ CỦA BÀI GỐC (giống hệt dòng `ATAE-LSTM`), KHÔNG PHẢI số của baseline `bilstm` do đề tài tự chạy (acc 0,8642 trên UIT-ViSFD, xem ghi_chu)",khong,co,khong,https://aclanthology.org/D16-1058/,"BASELINE CHINH THUC (ban GVHD duyet muc 1) - CD1.4b - moc truoc ky nguyen PLM | QUAN TRONG - CUNG NGUON VOI DONG `ATAE-LSTM`: src/nsmgat/models/bilstm.py tu noi 'KIEN TRUC — theo tinh than ATAE-LSTM (Wang et al. 2016)', nen ve mat trich dan day la CUNG MOT bai bao. Hai dong ton tai rieng vi dong nay dai dien cho baseline `bilstm` CUA CHINH DE TAI (dung o Chuong 4, CD1.4b) trong khi dong `ATAE-LSTM` dai dien cho CONG TRINH GOC duoc khao sat (dung o Chuong 2/3) — cung mot nguon trich dan, khac vai tro trong bao cao | Diem KHAC voi ban goc (da ghi trong bilstm.py): dung SUBWORD PHOBERT thay vi tu muc word + GloVe, de so sanh sach voi baseline `phobert` (CD1.5) — cung bo tach tu, chi khac kien truc + co/khong tien huan luyen | Moi truong tra cuu chi tiet (embedding, dataset, ket qua, giai thich, ma nguon cua BAI GOC) xem dong `ATAE-LSTM` — khong lap lai o day de tranh 2 nguon co the lech nhau khi co ai sua 1 ben | KET QUA THUC NGHIEM THAT cua baseline `bilstm` cua de tai (acc 0,8642 +/- 0,0062 tren UIT-ViSFD, 3 seed, vuot tran mu khia canh 80,88%) nam o results/bilstm/, KHONG phai o day"
NRCCanada2014,NRC-Canada-2014: Detecting Aspects and Sentiment in Customer Reviews,da_doc_toan_van,2014,SemEval 2014,G1_co_dien,"dac_trung_thu_cong (n-gram, parse feature, tu dien cam xuc -> SVM/maxent + CRF)",khong,,co,en,SemEval 2014 Task 4 - Restaurant + Laptop,"F1 (trich khia canh), accuracy (cuc tinh khia canh)","Hạng nhất phân loại cực tính theo nhóm khía cạnh (SB4, đúng dạng ACSA của đề tài): acc 82,93% (Restaurant); hạng nhất nhận diện nhóm khía cạnh (SB3): F1 88,58%; cực tính thuật ngữ khía cạnh (SB2): acc 70,49% (Laptop, hạng nhất) và 80,16% (Restaurant, hạng nhì); trích thuật ngữ (SB1): F1 80,19 / 68,57, hạng ba",khong,khong,khong,https://aclanthology.org/S14-2076/,"Tim moi 22/09/2026 (khong phai hat giong) — tra loi nhom G1_co_dien. Kiem chung DA DOC TOAN VAN (pypdf tu ACL Anthology). Tac gia: Svetlana Kiritchenko, Xiaodan Zhu, Colin Cherry, Saif M. Mohammad (National Research Council Canada) | SUA 22/09/2026 (lan 3): ban truoc ghi 'dung dau ca hai mien' — SAI; theo tom tat cua chinh bai: nhat SB3 va SB4, ba SB1, nhat (Laptop) va nhi (Restaurant) SB2. Bang ket qua cua bai to chuc (SemEval2014) ghi SB4 82,92 va SB2 80,15 / 70,48, lech 0,01 so voi bai nay do lam tron | co_tri_thuc_ngoai=co: dung nhieu tu dien cam xuc ngoai (tu dien rieng cua nhom + Yelp Restaurant Sentiment lexicon), bo dac trung tu dien dong gop 6,88 diem % tren Laptop (ablation) | co_giai_thich=khong, co_ma_nguon=khong: quet toan bai khong thay"
